"","Month","Day","Name","Party","From"
"342",16,8,"Rep. Earl Blumenauer"," D","Ore."
"343",16,8,"Rep. Doug Collins"," R","Ga."
"344",17,8,"Rep. David E. Price"," R","N.C."
"345",17,8,"Rep. Jackie Walorski"," R","Ind."
"346",18,8,"Rep. Louie Gohmert"," R","Texas"
"347",20,8,"Rep. Kathy Castor"," D","Fla."
"348",20,8,"Rep. Steve Daines"," R","Mont."
"349",20,8,"Rep. Ruben Hinojosa"," D","Texas"
"350",20,8,"Rep. Brad Schneider"," D","Ill."
"351",21,8,"Rep. Tim Griffin"," R","Ark."
"352",21,8,"Sen. Jon Tester"," D","Mont."
"353",22,8,"Rep. Cory Gardner"," R","Colo."
"354",22,8,"Rep. Trey Gowdy"," R","S.C."
"355",24,8,"Sen. Bob Corker"," R","Tenn."
"356",24,8,"Rep. John Culberson"," R","Texas"
"357",24,8,"Sen. Joe Manchin III"," D","W.Va."
"358",24,8,"Rep. Steve Pearce"," R","N.M."
"359",24,8,"Rep. Todd Young"," R","Ind."
"360",25,8,"Rep. Ron Barber"," D","Ariz."
"361",25,8,"Rep. Susan W. Brooks"," R","Ind."
"362",25,8,"Rep. Elizabeth Esty"," D","Conn."
"363",25,8,"Rep. Raul Ruiz"," D","Calif."
"364",26,8,"Rep. Melvin Watt"," D","N.C."
"365",28,8,"Rep. Julia Brownley"," D","Calif."
"366",29,8,"Sen. John McCain"," R","Ariz."
"367",29,8,"Rep. Dave Reichert"," R","Wash."
"368",31,8,"Rep. Marlin Stutzman"," R","Ind."
"369",1,9,"Rep. Ander Crenshaw"," R","Fla."
"370",1,9,"Rep. Al Green"," D","Texas"
"371",5,9,"Rep. Alcee L. Hastings"," D","Fla."
"372",5,9,"Rep. Ann McLane Kuster"," D","N.H."
"373",6,9,"Rep. Danny K. Davis"," D","Ill."
"374",6,9,"Rep. William Keating"," D","Mass."
"375",6,9,"Rep. John Kline"," R","Minn."
"376",6,9,"Rep. Sander M. Levin"," D","Mich."
"377",6,9,"Rep. Gloria Negrete McLeod"," D","Calif."
"378",8,9,"Sen. Bernard Sanders"," I","Vt."
"379",8,9,"Rep. Mike Simpson"," R","Idaho"
"380",9,9,"Sen. Chris Coons"," D","Del."
"381",9,9,"Rep. Howard “Buck” McKeon"," R","Calif."
"382",10,9,"Rep. Cynthia M. Lummis"," R","Wyo."
