“”,”X”,”X.1”,”X.2”,”Month”,”Day”,”Name”,”Party”,”From”,”Age”
"196","Sen. Patrick J. Leahy, D-Vt., 74",TRUE,"3/31/2014",31,3,"Sen. Patrick J. Leahy"," D","Vt.",74
"197","Rep. Stephen F. Lynch, D-Mass., 59",TRUE,"3/31/2014",31,3,"Rep. Stephen F. Lynch"," D","Mass.",59
"199","Rep. Chellie Pingree, D-Maine, 59",TRUE,"4/2/2014",2,4,"Rep. Chellie Pingree"," D","Maine",59
"200","Rep. Lynn Westmoreland, R-Ga., 64",TRUE,"4/2/2014",2,4,"Rep. Lynn Westmoreland"," R","Ga.",64
"202","Rep. Peter T. King, R-N.Y., 70",TRUE,"4/5/2014",5,4,"Rep. Peter T. King"," R","N.Y.",70
"203","Rep. Reid Ribble, R-Wis., 58",TRUE,"4/5/2014",5,4,"Rep. Reid Ribble"," R","Wis.",58
"205","Rep. Michele Bachmann, R-Minn., 58",TRUE,"4/6/2014",6,4,"Rep. Michele Bachmann"," R","Minn.",58
"206","Rep. Joe Courtney, D-Conn., 61",TRUE,"4/6/2014",6,4,"Rep. Joe Courtney"," D","Conn.",61
"207","Rep. Tim Walz, D-Minn., 50",TRUE,"4/6/2014",6,4,"Rep. Tim Walz"," D","Minn.",50
"209","Rep. Robert A. Brady, D-Pa., 69",TRUE,"4/7/2014",7,4,"Rep. Robert A. Brady"," D","Pa.",69
"211","Sen. Ron Johnson, R-Wis., 59",TRUE,"4/8/2014",8,4,"Sen. Ron Johnson"," R","Wis.",59
"213","Rep. Kevin Brady, R-Texas, 59",TRUE,"4/11/2014",11,4,"Rep. Kevin Brady"," R","Texas",59
"215","Rep. Tulsi Gabbard, D-Hawaii, 33",TRUE,"4/12/2014",12,4,"Rep. Tulsi Gabbard"," D","Hawaii",33
"216","Rep. Tim Walberg, R-Mich., 61",TRUE,"4/12/2014",12,4,"Rep. Tim Walberg"," R","Mich.",61
"218","Sen. Bob Casey, D-Pa., 54",TRUE,"4/13/2014",13,4,"Sen. Bob Casey"," D","Pa.",54
"219","Rep. Jim Costa, D-Calif., 62",TRUE,"4/13/2014",13,4,"Rep. Jim Costa"," D","Calif.",62
"220","Rep. Susan A. Davis, D-Calif., 70",TRUE,"4/13/2014",13,4,"Rep. Susan A. Davis"," D","Calif.",70
"221","Rep. Ted Yoho, R-Fla., 59",TRUE,"4/13/2014",13,4,"Rep. Ted Yoho"," R","Fla.",59
"223","Rep. David Valadao, R-Calif., 37",TRUE,"4/14/2014",14,4,"Rep. David Valadao"," R","Calif.",37
"225","Rep. John Delaney, D-Md., 51",TRUE,"4/16/2014",16,4,"Rep. John Delaney"," D","Md.",51
"227","Rep. George Holding, R-N.C,, 46",TRUE,"4/17/2014",17,4,"Rep. George Holding"," R","N.C",46
"229","Rep. Justin Amash, R-Mich., 34",TRUE,"4/18/2014",18,4,"Rep. Justin Amash"," R","Mich.",34
"230","Rep. Bob Latta, R-Ohio, 58",TRUE,"4/18/2014",18,4,"Rep. Bob Latta"," R","Ohio",58
"231","Rep. Gwen Moore, D-Wis., 63",TRUE,"4/18/2014",18,4,"Rep. Gwen Moore"," D","Wis.",63
"233","Rep. Dan Benishek, R-Mich., 62",TRUE,"4/20/2014",20,4,"Rep. Dan Benishek"," R","Mich.",62
"234","Sen. Pat Roberts, R-Kan., 78",TRUE,"4/20/2014",20,4,"Sen. Pat Roberts"," R","Kan.",78
"236","Rep. Jim Langevin, D-R.I., 50",TRUE,"4/22/2014",22,4,"Rep. Jim Langevin"," D","R.I.",50
